"Title","Slug","Thumb"
"Flower Grin ORIGINAL COLOR (3)","flower-grin-original-color-3.html","../../images/Sketches/grins/Flower%20Grin%20ORIGINAL%20COLOR%20(3).jpg"
"Flower Grin version 2","flower-grin-version-2.html","../../images/Sketches/grins/Flower%20Grin%20version%202%20ORIGINAL.jpg"
"Flying Grinnie","flying-grinnie.html","../../images/Sketches/grins/Flying%20Grinnie%20ORIGINAL.png"
"Foot in Mouth","foot-in-mouth.html","../../images/Sketches/grins/Foot%20in%20Mouth%20ORIGINAL%20COLOR.jpg"
"Football Grin","football-grin.html","../../images/Sketches/grins/Football%20Grin%20ORIGINAL.jpg"
"Football Player Grin","football-player-grin.html","../../images/Sketches/grins/Football%20Player%20Grin%20ORIGINAL.jpg"
"Franken Fat Grin","franken-fat-grin.html","../../images/Sketches/grins/Franken%20Fat%20Grin%20ORIGINAL.jpg"
"Franken Grin","franken-grin.html","../../images/Sketches/grins/Franken%20Grin%20COLOR.png"
"Freak Bro Afro Stache","freak-bro-afro-stache.html","../../images/Sketches/grins/Freak%20Bro%20Afro%20Stache%20ORIGINAL.jpg"
"Freak Bro Grin","freak-bro-grin.html","../../images/Sketches/grins/Freak%20Bro%20Grin%20ORIGINAL.jpg"
"Freak Cat","freak-cat.html","../../images/Sketches/grins/Freak%20Cat%20ORIGINAL.jpg"
"Garfield Grin","garfield-grin.html","../../images/Sketches/grins/Garfield%20Grin%20ORIGINAL.jpg"
"George Jetson Grin","george-jetson-grin.html","../../images/Sketches/grins/George%20Jetson%20Grin%20ORIGINAL.jpg"
"Ghostbuster Grin","ghostbuster-grin.html","../../images/Sketches/grins/Ghostbuster%20Grin%20ORIGINAL.jpg"
"Godzilla Heart Grin","godzilla-heart-grin.html","../../images/Sketches/grins/Godzilla%20Heart%20Grin%20ORIGINAL.jpg"
"Gorilla grin","gorilla-grin.html","../../images/Sketches/grins/Gorilla%20Grin%20ORIGINAL%20COLOR%201.jpg"
"Gorilla Grin 2","gorilla-grin-2.html","../../images/Sketches/grins/Gorilla%20Grin%202%20back%20ORIGINAL.jpg"
"Grim Grin","grim-grin.html","../../images/Sketches/grins/Grim%20Grin%20ORIGINAL%20COLOR.jpg"
