"Batch","Character","Page","Section","File","FullPath"
"B","Drink the Koolaid 1","drink-the-koolaid-1.html","Digitized Versions","Drink the Koolaid 1.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Drink the Koolaid 1.png"
"B","Drink the Koolaid 2","drink-the-koolaid-2.html","Digitized Versions","Drink the Koolaid 2.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Drink the Koolaid 2.png"
"B","Dripping Grin","dripping-grin.html","Original Drawing","Dripping Grin head ORIGINAL COLOR 1.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dripping Grin head ORIGINAL COLOR 1.jpg"
"B","Dripping Grin","dripping-grin.html","Original Drawing","Dripping Grin head ORIGINAL COLOR 2.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dripping Grin head ORIGINAL COLOR 2.jpg"
"B","Dripping Grin","dripping-grin.html","Original Drawing","Dripping Grin ORIGINAL COLOR 3.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dripping Grin ORIGINAL COLOR 3.jpg"
"B","Dripping Grin","dripping-grin.html","Digitized Versions","Dripping Grin head COLOR 3.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dripping Grin head COLOR 3.png"
"B","Dripping Grin","dripping-grin.html","Digitized Versions","Dripping Grin head COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dripping Grin head COLOR.jpg"
"B","Dripping Grin","dripping-grin.html","Collector Cards","Dripping Grin card.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dripping Grin card.png"
"B","Droopy Dog Grin","droopy-dog-grin.html","Original Drawing","Droopy Dog Grin ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Droopy Dog Grin ORIGINAL.jpg"
"B","Dunny Grin","dunny-grin.html","Original Drawing","Dunny Grin front ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dunny Grin front ORIGINAL.jpg"
"B","Dunny Grin","dunny-grin.html","Original Drawing","Dunny Grin front ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dunny Grin front ORIGINAL COLOR.jpg"
"B","Dunny Grin","dunny-grin.html","Original Drawing","Dunny Grin back ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dunny Grin back ORIGINAL.jpg"
"B","Dunny Grin","dunny-grin.html","Original Drawing","Dunny Grin back ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dunny Grin back ORIGINAL COLOR.jpg"
"B","Dunny Grin","dunny-grin.html","Digitized Versions","Dunny Grin back B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dunny Grin back B&W.jpg"
"B","Dunny Grin","dunny-grin.html","Digitized Versions","Dunny Grin back COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dunny Grin back COLOR.jpg"
