"Batch","Character","Page","Section","File"
"H-M","Mickey Grin","mickey-grin.html","Original Drawing","Mickey Grin head ORIGINAL.jpg"
"H-M","Mickey Grin","mickey-grin.html","Digitized Versions","Mickey Grin head B&W.jpg"
"H-M","Mickey Grin","mickey-grin.html","Digitized Versions","Mickey Grin side view 1 COLOR.png"
"H-M","Mickey Grin","mickey-grin.html","Digitized Versions","Mickey Grin side view 2 COLOR.png"
"H-M","Mickey Grin","mickey-grin.html","Digitized Versions","Mickey Grin head COLOR.jpg"
"H-M","Mickey Mouse Grin","mickey-mouse-grin.html","Original Drawing","Mickey Mouse Grin back ORIGINAL.jpg"
"H-M","Mickey Mouse Grin","mickey-mouse-grin.html","Original Drawing","Mickey Mouse Grin left side ORIGINAL.jpg"
"H-M","Mickey Mouse Grin","mickey-mouse-grin.html","Original Drawing","Mickey Mouse Grin right side ORIGINAL.jpg"
"H-M","Mickey Mouse Grin","mickey-mouse-grin.html","Original Drawing","Mickey Mouse Grin ORIGINAL.jpg"
"H-M","Mickey Mouse Grin","mickey-mouse-grin.html","Digitized Versions","Mickey Mouse Grin back COLOR.jpg"
"H-M","Mickey Mouse Grin","mickey-mouse-grin.html","Digitized Versions","Mickey Mouse Grin right side B&W.jpg"
"H-M","Mickey Mouse Grin","mickey-mouse-grin.html","Digitized Versions","Mickey Mouse Grin right side COLOR.jpg"
"H-M","Mickey Mouse Grin 2","mickey-mouse-grin-2.html","Original Drawing","Mickey Mouse Grin 2 ORIGINAL.jpg"
"H-M","Mickey Mouse Grin Flying","mickey-mouse-grin-flying.html","Original Drawing","Mickey Mouse Grin Flying ORIGINAL.jpg"
"H-M","Mishka Eyeball Grin","mishka-eyeball-grin.html","Original Drawing","Mishka Eyeball Grin ORIGINAL.jpg"
"H-M","Mishka Eyeball Grin","mishka-eyeball-grin.html","Original Drawing","Mishka Eyeball Grin ORIGINAL COLOR.jpg"
"H-M","Mishka Eyeball Grin","mishka-eyeball-grin.html","Digitized Versions","Mishka Eyeball Grin COLOR.jpg"
"H-M","Modzilla Grin","modzilla-grin.html","Original Drawing","Modzilla Grin Front ORIGINAL.jpg"
"H-M","Modzilla Grin","modzilla-grin.html","Original Drawing","Modzilla Grin Side ORIGINAL.jpg"
"H-M","Mogul Grin","mogul-grin.html","Original Drawing","Mogul Grin back ORIGINAL.jpg"
"H-M","Mogul Grin","mogul-grin.html","Original Drawing","Mogul Grin left side ORIGINAL.jpg"
"H-M","Mogul Grin","mogul-grin.html","Original Drawing","Mogul Grin right side ORIGINAL.jpg"
"H-M","Mogul Grin","mogul-grin.html","Original Drawing","Mogul Grin ORIGINAL.jpg"
"H-M","Mogul Grin","mogul-grin.html","Original Drawing","Mogul Grin ORIGINAL COLOR.jpg"
"H-M","Mogul Grin","mogul-grin.html","Digitized Versions","Mogul Grin left side B&W.jpg"
"H-M","Mogul Grin","mogul-grin.html","Digitized Versions","Mogul Grin left side COLOR.jpg"
"H-M","Mogul Grin","mogul-grin.html","Digitized Versions","Mogul Grin COLOR.jpg"
"H-M","Mogul Grin Standing","mogul-grin-standing.html","Original Drawing","Mogul Grin Standing ORIGINAL.jpg"
"H-M","Mogul Grin Standing","mogul-grin-standing.html","Digitized Versions","Mogul Grin Standing COLOR.jpg"
"H-M","Monkey Grin Mouth","monkey-grin-mouth.html","Digitized Versions","Monkey Grin Mouth COLOR.png"
"H-M","Monkey Shiner Angel Grin","monkey-shiner-angel-grin.html","Digitized Versions","Monkey Shiner Angel Grin COLOR.jpg"
"H-M","Monkey Shiner Angel Grin ORINGINAL","monkey-shiner-angel-grin-oringinal.html","Digitized Versions","Monkey Shiner Angel Grin ORINGINAL.jpg"
"H-M","Monkey Shriner Grin","monkey-shriner-grin.html","Original Drawing","Monkey Shriner Grin ORIGINAL.jpeg"
"H-M","Monkey Shriner Grin","monkey-shriner-grin.html","Original Drawing","Monkey Shriner Grin ORIGINAL.jpg"
"H-M","Monkey Shriner Grin","monkey-shriner-grin.html","Digitized Versions","Monkey Shriner Grin side COLOR.png"
"H-M","Monkey Shriner Grin ORIGINAL.1","monkey-shriner-grin-original-1.html","Original Drawing","Monkey Shriner Grin ORIGINAL.1.jpg"
"H-M","Mounted Gorilla Grin","mounted-gorilla-grin.html","Original Drawing","Mounted Gorilla Grin ORIGINAL.jpg"
"H-M","Mouth Grin","mouth-grin.html","Original Drawing","Mouth Grin ORIGINAL.jpg"
"H-M","Mouth Grin","mouth-grin.html","Digitized Versions","Mouth Grin COLOR.jpg"
"H-M","Mr Met Grin","mr-met-grin.html","Original Drawing","Mr Met Grin ORIGINAL COLOR.jpg"
"H-M","Mr Potato Grin","mr-potato-grin.html","Original Drawing","Mr Potato Grin ORIGINAL.jpg"
"H-M","Mr Potato Grin","mr-potato-grin.html","Digitized Versions","Mr Potato Grin COLOR 2.png"
"H-M","Mr Potato Grin","mr-potato-grin.html","Digitized Versions","Mr Potato Grin COLOR.jpg"
"H-M","Mummy Grin","mummy-grin.html","Original Drawing","Mummy Grin ORIGINAL.jpg"
"H-M","Mummy Grin","mummy-grin.html","Digitized Versions","Mummy Grin COLOR.jpg"
"H-M","Mummy Grin 1","mummy-grin-1.html","Digitized Versions","Mummy Grin 1 COLOR.png"
"H-M","M.U.S.C.L.E. He-Man Grinnie","m-u-s-c-l-e-he-man-grinnie.html","Original Drawing","M.U.S.C.L.E. He-Man Grinnie front ORIGINAL.jpg"
"H-M","M.U.S.C.L.E. He-Man Grinnie","m-u-s-c-l-e-he-man-grinnie.html","Original Drawing","M.U.S.C.L.E. He-Man Grinnie back ORIGINAL.jpg"
"H-M","M.U.S.C.L.E. He-Man Grinnie","m-u-s-c-l-e-he-man-grinnie.html","Original Drawing","M.U.S.C.L.E. He-Man Grinnie side ORIGINAL.jpg"
"H-M","M.U.S.C.L.E. He-Man Grinnie","m-u-s-c-l-e-he-man-grinnie.html","Digitized Versions","M.U.S.C.L.E. He-Man Grinnie front B&W.jpg"
"H-M","M.U.S.C.L.E. He-Man Grinnie","m-u-s-c-l-e-he-man-grinnie.html","Digitized Versions","M.U.S.C.L.E. He-Man Grinnie back COLOR.jpg"
"H-M","Mush Man grin","mush-man-grin.html","Original Drawing","Mush Man Grin side view ORIGINAL.jpg"
"H-M","Mush Man grin","mush-man-grin.html","Original Drawing","Mush Man grin ORIGINAL.jpg"
"H-M","Mush Man grin","mush-man-grin.html","Original Drawing","Mush Man grin ORIGINAL COLOR.jpg"
"H-M","Mush Man grin","mush-man-grin.html","Digitized Versions","Mush Man Grin side view B&W.jpg"
"H-M","Mush Man grin","mush-man-grin.html","Digitized Versions","Mush Man grin B&W.jpg"
"H-M","Mush Man grin ORIGINAL (2)","mush-man-grin-original-2.html","Original Drawing","Mush Man grin ORIGINAL (2).jpg"
"H-M","Mutley Grin","mutley-grin.html","Original Drawing","Mutley Grin ORIGINAL.jpg"
