"FileName","FullPath","RelativePathFromRepo","RelativePathFromSketchesImages","FolderRelativeToSketchesImages","CategoryGuess","SubcategoryGuess","Extension","SizeBytes","LastWriteTime","ImageKindGuess","WorkNameGuess","GroupKey","PublicImageURL","GoogleSheetsImageFormula","Width","Height","DimensionStatus"
"Bee Plug B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Insects\Bee Plug B&W.jpg","images\Sketches\Insects\Bee Plug B&W.jpg","Insects\Bee Plug B&W.jpg","Insects","Insects","",".jpg","131930","5/9/2026 8:10:19 AM","Main or unclassified","Bee Plug B&W","insects|bee plug b and w","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Bee%20Plug%20B%26W.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Bee%20Plug%20B%26W.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Bee%20Plug%20B%26W.jpg"",1))","","","Not read"
"Bee Plug COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Insects\Bee Plug COLOR.jpg","images\Sketches\Insects\Bee Plug COLOR.jpg","Insects\Bee Plug COLOR.jpg","Insects","Insects","",".jpg","146280","5/9/2026 8:10:20 AM","Color","Bee Plug","insects|bee plug","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Bee%20Plug%20COLOR.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Bee%20Plug%20COLOR.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Bee%20Plug%20COLOR.jpg"",1))","","","Not read"
"Bee Plug ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Insects\Bee Plug ORIGINAL.jpg","images\Sketches\Insects\Bee Plug ORIGINAL.jpg","Insects\Bee Plug ORIGINAL.jpg","Insects","Insects","",".jpg","177920","5/9/2026 8:10:20 AM","Original","Bee Plug","insects|bee plug","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Bee%20Plug%20ORIGINAL.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Bee%20Plug%20ORIGINAL.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Bee%20Plug%20ORIGINAL.jpg"",1))","","","Not read"
"Stinging Bee B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Insects\Stinging Bee B&W.jpg","images\Sketches\Insects\Stinging Bee B&W.jpg","Insects\Stinging Bee B&W.jpg","Insects","Insects","",".jpg","131695","5/9/2026 8:10:21 AM","Main or unclassified","Stinging Bee B&W","insects|stinging bee b and w","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Stinging%20Bee%20B%26W.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Stinging%20Bee%20B%26W.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Stinging%20Bee%20B%26W.jpg"",1))","","","Not read"
"Stinging Bee B&W2.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Insects\Stinging Bee B&W2.jpg","images\Sketches\Insects\Stinging Bee B&W2.jpg","Insects\Stinging Bee B&W2.jpg","Insects","Insects","",".jpg","140370","5/9/2026 8:10:22 AM","Main or unclassified","Stinging Bee B&W2","insects|stinging bee b and w2","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Stinging%20Bee%20B%26W2.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Stinging%20Bee%20B%26W2.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Stinging%20Bee%20B%26W2.jpg"",1))","","","Not read"
"Stinging Bee COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Insects\Stinging Bee COLOR.jpg","images\Sketches\Insects\Stinging Bee COLOR.jpg","Insects\Stinging Bee COLOR.jpg","Insects","Insects","",".jpg","133616","5/9/2026 8:10:23 AM","Color","Stinging Bee","insects|stinging bee","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Stinging%20Bee%20COLOR.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Stinging%20Bee%20COLOR.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Stinging%20Bee%20COLOR.jpg"",1))","","","Not read"
"Stinging Bee ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Insects\Stinging Bee ORIGINAL.jpg","images\Sketches\Insects\Stinging Bee ORIGINAL.jpg","Insects\Stinging Bee ORIGINAL.jpg","Insects","Insects","",".jpg","213988","5/9/2026 8:10:23 AM","Original","Stinging Bee","insects|stinging bee","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Stinging%20Bee%20ORIGINAL.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Stinging%20Bee%20ORIGINAL.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/Insects/Stinging%20Bee%20ORIGINAL.jpg"",1))","","","Not read"
"insects-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\insects-hero.jpg","images\Sketches\insects-hero.jpg","insects-hero.jpg","","(root)","",".jpg","122467","5/6/2026 6:18:37 AM","Main or unclassified","insects hero","|insects hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/insects-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/insects-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/insects-hero.jpg"",1))","","","Not read"
"kaijus-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\kaijus-hero.jpg","images\Sketches\kaijus-hero.jpg","kaijus-hero.jpg","","(root)","",".jpg","122805","5/6/2026 6:18:37 AM","Main or unclassified","kaijus hero","|kaijus hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kaijus-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kaijus-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kaijus-hero.jpg"",1))","","","Not read"
"kursed-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\kursed-hero.jpg","images\Sketches\kursed-hero.jpg","kursed-hero.jpg","","(root)","",".jpg","187932","5/6/2026 6:18:37 AM","Main or unclassified","kursed hero","|kursed hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kursed-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kursed-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kursed-hero.jpg"",1))","","","Not read"
