"WorkNameDraft","CategoryGuess","SubcategoryGuess","FolderRelativeToSketchesImages","ImageCount","HeroFileName","HeroPublicURL","HeroGoogleSheetsImageFormula","OriginalImageFileNames","OriginalImageURLs","OtherViewFileNames","OtherViewURLs","DigitalImageFileNames","DigitalImageURLs","ColorImageFileNames","ColorImageURLs","MainOrUnclassifiedFileNames","MainOrUnclassifiedURLs","AllImageFileNames","AllImageURLs","GroupKey","NeedsReview"
"brains hero","(root)","","","1","brains-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/brains-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/brains-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/brains-hero.jpg"",1))","","","","","","","","","brains-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/brains-hero.jpg","brains-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/brains-hero.jpg","|brains hero","LOW - single image"
"buzzards hero","(root)","","","1","buzzards-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/buzzards-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/buzzards-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/buzzards-hero.jpg"",1))","","","","","","","","","buzzards-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/buzzards-hero.jpg","buzzards-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/buzzards-hero.jpg","|buzzards hero","LOW - single image"
"canines and felines hero","(root)","","","1","canines-and-felines-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/canines-and-felines-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/canines-and-felines-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/canines-and-felines-hero.jpg"",1))","","","","","","","","","canines-and-felines-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/canines-and-felines-hero.jpg","canines-and-felines-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/canines-and-felines-hero.jpg","|canines and felines hero","LOW - single image"
"celebrity characters hero","(root)","","","1","celebrity-characters-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/celebrity-characters-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/celebrity-characters-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/celebrity-characters-hero.jpg"",1))","","","","","","","","","celebrity-characters-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/celebrity-characters-hero.jpg","celebrity-characters-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/celebrity-characters-hero.jpg","|celebrity characters hero","LOW - single image"
"cereal killer hero","(root)","","","1","cereal-killer-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/cereal-killer-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/cereal-killer-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/cereal-killer-hero.jpg"",1))","","","","","","","","","cereal-killer-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/cereal-killer-hero.jpg","cereal-killer-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/cereal-killer-hero.jpg","|cereal killer hero","LOW - single image"
"character balls hero","(root)","","","1","character-balls-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/character-balls-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/character-balls-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/character-balls-hero.jpg"",1))","","","","","","","","","character-balls-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/character-balls-hero.jpg","character-balls-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/character-balls-hero.jpg","|character balls hero","LOW - single image"
"combrats hero","(root)","","","1","combrats-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/combrats-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/combrats-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/combrats-hero.jpg"",1))","","","","","","","","","combrats-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/combrats-hero.jpg","combrats-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/combrats-hero.jpg","|combrats hero","LOW - single image"
"flowers hero","(root)","","","1","flowers-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/flowers-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/flowers-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/flowers-hero.jpg"",1))","","","","","","","","","flowers-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/flowers-hero.jpg","flowers-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/flowers-hero.jpg","|flowers hero","LOW - single image"
"frog hero","(root)","","","1","frog-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/frog-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/frog-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/frog-hero.jpg"",1))","","","","","","","","","frog-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/frog-hero.jpg","frog-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/frog-hero.jpg","|frog hero","LOW - single image"
"grinnies hero","(root)","","","1","grinnies-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/grinnies-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/grinnies-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/grinnies-hero.jpg"",1))","","","","","","","","","grinnies-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/grinnies-hero.jpg","grinnies-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/grinnies-hero.jpg","|grinnies hero","LOW - single image"
"insects hero","(root)","","","1","insects-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/insects-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/insects-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/insects-hero.jpg"",1))","","","","","","","","","insects-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/insects-hero.jpg","insects-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/insects-hero.jpg","|insects hero","LOW - single image"
"kaijus hero","(root)","","","1","kaijus-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kaijus-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kaijus-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kaijus-hero.jpg"",1))","","","","","","","","","kaijus-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kaijus-hero.jpg","kaijus-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kaijus-hero.jpg","|kaijus hero","LOW - single image"
"kursed hero","(root)","","","1","kursed-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kursed-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kursed-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kursed-hero.jpg"",1))","","","","","","","","","kursed-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kursed-hero.jpg","kursed-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/kursed-hero.jpg","|kursed hero","LOW - single image"
"light cult hero","(root)","","","1","light-cult-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/light-cult-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/light-cult-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/light-cult-hero.jpg"",1))","","","","","","","","","light-cult-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/light-cult-hero.jpg","light-cult-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/light-cult-hero.jpg","|light cult hero","LOW - single image"
"monkeys hero","(root)","","","1","monkeys-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/monkeys-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/monkeys-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/monkeys-hero.jpg"",1))","","","","","","","","","monkeys-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/monkeys-hero.jpg","monkeys-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/monkeys-hero.jpg","|monkeys hero","LOW - single image"
