"Status","SourceFile","OutputFile","SourceSizeKB","OutputSizeKB","Error"
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Liberty eagle side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty eagle side ORIGINAL.jpg","2701","297.8",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Liberty Indian Eagle Front B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Indian Eagle Front B&W.jpg","5824.9","197.1",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Liberty Indian Eagle Front COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Indian Eagle Front COLOR.jpg","3826.4","151.3",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Liberty Indian Eagle Front ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Indian Eagle Front ORIGINAL COLOR.jpg","1667.5","251.1",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Liberty Indian Eagle right side B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Indian Eagle right side B&W.jpg","3222.1","137",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Liberty Indian Eagle right side COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Indian Eagle right side COLOR.jpg","4735.5","147",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Liberty Indian Eagle right side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Indian Eagle right side ORIGINAL.jpg","637.7","50.5",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Liberty Seeds B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Seeds B&W.jpg","5556.6","272.8",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Liberty Seeds COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Seeds COLOR.jpg","8711.7","282.4",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Liberty Seeds ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Seeds ORIGINAL.jpg","2736.1","240",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Statues Family Icon COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Statues Family Icon COLOR.jpg","790.5","133.2",""
