"FileName","Extension","SizeKB","UsedOnAnyGrinsHtmlPage","ProposedCharacter","ProposedPageFile","ProposedSection","PageAlreadyExists","ProposedAction","ReviewNotes","FullPath"
"Elephant Grin ORIGINAL COLOR 2.jpg",".jpg","135","False","Elephant Grin","elephant-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Elephant Grin ORIGINAL COLOR 2.jpg"
"Eminem Grin COLOR.jpg",".jpg","300.8","False","Eminem Grin","eminem-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Eminem Grin COLOR.jpg"
"Ernie Grin B&W.jpg",".jpg","54.9","False","Ernie Grin","ernie-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Ernie Grin B&W.jpg"
"EZ Nuts Grin 1 COLOR.jpg",".jpg","218.9","False","EZ Nuts Grin 1","ez-nuts-grin-1.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\EZ Nuts Grin 1 COLOR.jpg"
"EZ Nuts Grin 2 COLOR.jpg",".jpg","207.8","False","EZ Nuts Grin 2","ez-nuts-grin-2.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\EZ Nuts Grin 2 COLOR.jpg"
"EZ Nuts Grin 3 COLOR.jpg",".jpg","214.7","False","EZ Nuts Grin 3","ez-nuts-grin-3.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\EZ Nuts Grin 3 COLOR.jpg"
"Faze Banks Grin B&W.jpg",".jpg","334.1","False","Faze Banks Grin","faze-banks-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Faze Banks Grin B&W.jpg"
"Felix Grin Front B&W.jpg",".jpg","321.7","False","Felix Grin","felix-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Felix Grin Front B&W.jpg"
"Felix Grin ORIGINAL COLOR.jpg",".jpg","137.6","False","Felix Grin","felix-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Felix Grin ORIGINAL COLOR.jpg"
"Felix Grin side B&W.jpg",".jpg","259.1","False","Felix Grin","felix-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Felix Grin side B&W.jpg"
"Finn Grin B&W.jpg",".jpg","304","False","Finn Grin","finn-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Finn Grin B&W.jpg"
"Finn Grin COLOR.jpg",".jpg","429.7","False","Finn Grin","finn-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Finn Grin COLOR.jpg"
"Finn Grin ORIGINAL COLOR.jpg",".jpg","125","False","Finn Grin","finn-grin.html","Original Drawing","False","Likely create new page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Finn Grin ORIGINAL COLOR.jpg"
"Flaming O Grin B&W.jpg",".jpg","241.8","False","Flaming O Grin","flaming-o-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Flaming O Grin B&W.jpg"
"Flaming O Grin COLOR.jpg",".jpg","271.2","False","Flaming O Grin","flaming-o-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Flaming O Grin COLOR.jpg"
"Flower Brain Grin ORIGINAL COLOR.jpg",".jpg","169.8","False","Flower Brain Grin","flower-brain-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Flower Brain Grin ORIGINAL COLOR.jpg"
"Flower Grin COLOR.jpg",".jpg","384.4","False","Flower Grin","flower-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Flower Grin COLOR.jpg"
"Flying Grinnie B&W.jpg",".jpg","302.2","False","Flying Grinnie","flying-grinnie.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Flying Grinnie B&W.jpg"
"Flying Grinnie COLOR.jpg",".jpg","369.8","False","Flying Grinnie","flying-grinnie.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Flying Grinnie COLOR.jpg"
"Football Player Grin B&W.jpg",".jpg","240.5","False","Football Player Grin","football-player-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Football Player Grin B&W.jpg"
"Football Player Grin COLOR.jpg",".jpg","255.6","False","Football Player Grin","football-player-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Football Player Grin COLOR.jpg"
"Franken Fat Grin B&W.jpg",".jpg","410.3","False","Franken Fat Grin","franken-fat-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Franken Fat Grin B&W.jpg"
"Franken Grin ORIGINAL COLOR.png",".png","242.7","False","Franken Grin","franken-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Franken Grin ORIGINAL COLOR.png"
"Freak Bro Afro Stache COLOR.jpg",".jpg","470.3","False","Freak Bro Afro Stache","freak-bro-afro-stache.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Freak Bro Afro Stache COLOR.jpg"
"Freak Bro Grin COLOR.jpg",".jpg","539.8","False","Freak Bro Grin","freak-bro-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Freak Bro Grin COLOR.jpg"
