"FileName","Extension","SizeKB","UsedOnAnyGrinsHtmlPage","ProposedCharacter","ProposedPageFile","ProposedSection","PageAlreadyExists","ProposedAction","ReviewNotes","FullPath"
"Stormtrooper Grin COLOR.jpg",".jpg","449.7","False","Stormtrooper Grin","stormtrooper-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Stormtrooper Grin COLOR.jpg"
"Street Fighter Guile Grin COLOR.jpg",".jpg","390.9","False","Street Fighter Guile Grin","street-fighter-guile-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Street Fighter Guile Grin COLOR.jpg"
"Sugar Clown Grin B&W.jpg",".jpg","346.4","False","Sugar Clown Grin","sugar-clown-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Sugar Clown Grin B&W.jpg"
"Sugar Clown Grin back B&W.jpg",".jpg","440.6","False","Sugar Clown Grin","sugar-clown-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Sugar Clown Grin back B&W.jpg"
"Sugar Clown Grin back COLOR.jpg",".jpg","306.6","False","Sugar Clown Grin","sugar-clown-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Sugar Clown Grin back COLOR.jpg"
"Sugar Clown Grin left side COLOR.jpg",".jpg","452.5","False","Sugar Clown Grin","sugar-clown-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Sugar Clown Grin left side COLOR.jpg"
"Sugar Clown Grin right side B&W.jpg",".jpg","272.7","False","Sugar Clown Grin","sugar-clown-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Sugar Clown Grin right side B&W.jpg"
"Sugar Clown Grin right side COLOR.jpg",".jpg","395.8","False","Sugar Clown Grin","sugar-clown-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Sugar Clown Grin right side COLOR.jpg"
"Sugar Diabetic Bear Grin B&W.jpg",".jpg","443.1","False","Sugar Diabetic Bear Grin","sugar-diabetic-bear-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Sugar Diabetic Bear Grin B&W.jpg"
"Sugar Smack Grin B&W.jpg",".jpg","285.9","False","Sugar Smack Grin","sugar-smack-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Sugar Smack Grin B&W.jpg"
