"ProposedCharacter","ProposedPageFile","PageAlreadyExists","ProposedAction","UnusedFileCount","OriginalDrawingCount","DigitizedVersionsCount","CollectorCardsCount","NeedsReviewCount","Files"
"Homer Grin","homer-grin.html","True","Add to existing page","4","0","4","0","2","Homer Grin B&W.jpg | Homer Grin COLOR.jpg | Homer Grin headshot B&W.jpg | Homer Grin headshot side B&W.jpg"
"Homer Grin 3","homer-grin-3.html","True","Add to existing page","6","0","6","0","6","Homer Grin 3 back B&W.jpg | Homer Grin 3 back COLOR.jpg | Homer Grin 3 left side B&W.jpg | Homer Grin 3 left side COLOR.jpg | Homer Grin 3 right side B&W.jpg | Homer Grin 3 right side COLOR.jpg"
"Homer Grin Flying","homer-grin-flying.html","True","Add to existing page","2","0","2","0","0","Homer Grin Flying B&W.jpg | Homer Grin Flying COLOR.jpg"
"Homer grin version 2","homer-grin-version-2.html","True","Add to existing page","6","0","6","0","6","Homer grin version 2 back B&W.jpg | Homer grin version 2 back COLOR.jpg | Homer Grin version 2 left side B&W.jpg | Homer Grin version 2 left side COLOR.jpg | Homer Grin version 2 right side B&W.jpg | Homer Grin version 2 right side COLOR.jpg"
"Honey Butts Grin","honey-butts-grin.html","True","Add to existing page","1","0","1","0","0","Honey Butts Grin COLOR.jpg"
"HR Puffenstuff Grin","hr-puffenstuff-grin.html","True","Add to existing page","1","0","1","0","0","HR Puffenstuff Grin B&W.jpg"
"Jake Grin","jake-grin.html","False","Likely create new page","1","1","0","0","1","Jake Grin ORIGINAL COLOR.jpg"
"Jake the Dog Grin","jake-the-dog-grin.html","True","Add to existing page","3","1","2","0","1","Jake the Dog Grin B&W.jpg | Jake the Dog Grin COLOR.jpg | Jake the Dog Grin ORIGINAL COLOR.jpg"
"Jane Jetson Grin","jane-jetson-grin.html","True","Add to existing page","2","0","2","0","0","Jane Jetson Grin B&W.jpg | Jane Jetson Grin COLOR.jpg"
"Jane Jetson Grin COLOR.1","jane-jetson-grin-color-1.html","False","Likely create new page","1","0","1","0","0","Jane Jetson Grin COLOR.1.jpg"
"Joker Grin","joker-grin.html","True","Add to existing page","1","0","1","0","0","Joker Grin COLOR.jpg"
"Kanegon Grin","kanegon-grin.html","True","Add to existing page","1","0","1","0","0","Kanegon Grin B&W.jpg"
"Kevin Durant Grin","kevin-durant-grin.html","True","Add to existing page","2","0","2","0","0","Kevin Durant Grin With Ball B&W.jpg | Kevin Durant Grin With Ball COLOR.jpg"
"Kiss Gene Grin","kiss-gene-grin.html","True","Add to existing page","2","0","2","0","0","Kiss Gene Grin B&W.jpg | Kiss Gene Grin COLOR.jpg"
"Krusty the Clown Grin","krusty-the-clown-grin.html","True","Add to existing page","1","0","1","0","1","Krusty the Clown Grin front COLOR.jpg"
"Kursed Grin","kursed-grin.html","True","Add to existing page","1","0","1","0","1","Kursed Grin Side View B&W.jpg"
"Lagoon Creature Grin","lagoon-creature-grin.html","False","Likely create new page","1","0","1","0","0","Lagoon Creature Grin COLOR.jpg"
"Lemon Boy grin","lemon-boy-grin.html","True","Add to existing page","1","0","1","0","0","Lemon Boy grin B&W.jpg"
"Liberty Grin","liberty-grin.html","True","Add to existing page","2","0","2","0","1","Liberty Grin B&W 2.jpeg | Liberty Grin COLOR.jpg"
"Lion Face Grin","lion-face-grin.html","False","Likely create new page","3","0","3","0","3","Lion Face Grin B&W.png | Lion Face Grin COLOR 1.png | Lion Face Grin COLOR 2.jpg"
"Lisa Grin","lisa-grin.html","True","Add to existing page","4","0","4","0","4","Lisa Grin front B&W.jpg | Lisa Grin left side B&W.jpg | Lisa Grin right side B&W.jpg | Lisa Grin right side COLOR.jpg"
"Lucky Cat Grin","lucky-cat-grin.html","True","Add to existing page","1","0","1","0","0","Lucky Cat Grin B&W.jpg"
"Mad Mickey Grin","mad-mickey-grin.html","False","Likely create new page","1","1","0","0","1","Mad Mickey Grin ORIGINAL COLOR.jpg"
"Maggie Grin","maggie-grin.html","True","Add to existing page","4","0","4","0","4","Maggie Grin back B&W.jpg | Maggie Grin back COLOR.jpg | Maggie Grin front B&W.jpg | Maggie Grin side B&W.jpg"
"Manny Pacquaio Grin","manny-pacquaio-grin.html","True","Add to existing page","1","0","1","0","0","Manny Pacquaio Grin B&W.jpg"
"Man Shark COLORED","man-shark-colored.html","False","Likely create new page","1","0","1","0","0","Man Shark COLORED.jpg"
"Marge Grin","marge-grin.html","True","Add to existing page","5","0","5","0","5","Marge Grin front COLOR.jpg | Marge Grin left side B&W.jpg | Marge Grin left side COLOR.jpg | Marge Grin right side B&W.jpg | Marge Grin right side COLOR.jpg"
"Mario Grin","mario-grin.html","True","Add to existing page","3","0","3","0","3","Mario Grin front B&W.jpg | Mario Grin front COLOR.jpg | Mario Grin left side COLOR.jpg"
"Max Grin","max-grin.html","False","Likely create new page","2","1","1","0","0","Max Grin COLOR.jpg | Max Grin ORIGINAL.jpg"
"Max Grin png","max-grin-png.html","False","Likely create new page","1","0","1","0","0","Max Grin png.jpg"
"MC Grin","mc-grin.html","True","Add to existing page","4","2","2","0","2","MC Grin B&W.jpg | MC Grin COLOR.jpg | MC Grin ORIGINAL COLOR 2.png | MC Grin ORIGINAL COLOR.jpg"
"MC Supersized Grin","mc-supersized-grin.html","True","Add to existing page","3","0","3","0","1","MC Supersized Grin B&W.jpg | MC Supersized Grin COLOR.jpg | MC Supersized Grin side COLOR.jpg"
"MC Supersized Grin 2","mc-supersized-grin-2.html","True","Add to existing page","1","0","1","0","0","MC Supersized Grin 2 B&W.jpg"
"MC Supersize Grin Flying","mc-supersize-grin-flying.html","True","Add to existing page","2","0","2","0","0","MC Supersize Grin Flying B&W.jpg | MC Supersize Grin Flying COLOR.jpg"
"MC Supersize Grin Flying COLOR.1","mc-supersize-grin-flying-color-1.html","False","Likely create new page","1","0","1","0","0","MC Supersize Grin Flying COLOR.1.jpg"
"Melting Monster Grin","melting-monster-grin.html","True","Add to existing page","2","0","2","0","0","Melting Monster Grin B&W.jpg | Melting Monster Grin COLOR.jpg"
"Mentadusa","mentadusa.html","True","Add to existing page","1","0","1","0","0","Mentadusa COLOR.jpg"
"Mickey Grin","mickey-grin.html","True","Add to existing page","1","1","0","0","1","Mickey Grin ORIGINAL COLOR.jpg"
"Mickey Mouse Grin","mickey-mouse-grin.html","True","Add to existing page","3","0","3","0","2","Mickey Mouse Grin back B&W.jpg | Mickey Mouse Grin COLOR.png | Mickey Mouse Grin left side COLOR.jpg"
"Mickey Mouse Grin 2","mickey-mouse-grin-2.html","True","Add to existing page","1","0","1","0","0","Mickey Mouse Grin 2 B&W.jpg"
"Mickey Mouse Grin Flying","mickey-mouse-grin-flying.html","True","Add to existing page","2","0","2","0","0","Mickey Mouse Grin Flying B&W.jpg | Mickey Mouse Grin Flying COLOR.jpg"
"Mickey Mouse Grin Flying COLOR.1","mickey-mouse-grin-flying-color-1.html","False","Likely create new page","1","0","1","0","0","Mickey Mouse Grin Flying COLOR.1.jpg"
"Mishka Eyeball Grin","mishka-eyeball-grin.html","True","Add to existing page","1","0","1","0","0","Mishka Eyeball Grin B&W.jpg"
"Modzilla Grin","modzilla-grin.html","True","Add to existing page","2","0","2","0","2","Modzilla Grin Front B&W.jpg | Modzilla Grin Side B&W.jpg"
"Mogul Grin","mogul-grin.html","True","Add to existing page","5","0","5","0","4","Mogul Grin B&W.jpg | Mogul Grin back B&W.jpg | Mogul Grin back COLOR.jpg | Mogul Grin right side B&W.jpg | Mogul Grin right side COLOR.jpg"
"Mogul Grin Standing","mogul-grin-standing.html","True","Add to existing page","1","0","1","0","0","Mogul Grin Standing B&W.jpg"
"Monkey Grin Mouth","monkey-grin-mouth.html","True","Add to existing page","1","0","1","0","0","Monkey Grin Mouth B&W.jpg"
"Monkey Shiner Angel Grin ORINGINAL (1)","monkey-shiner-angel-grin-oringinal-1.html","False","Likely create new page","1","0","1","0","0","Monkey Shiner Angel Grin ORINGINAL (1).jpg"
"Monkey Shriner Grin","monkey-shriner-grin.html","True","Add to existing page","2","1","1","0","1","Monkey Shriner Grin COLOR.jpg | Monkey Shriner Grin ORIGINAL COLOR.jpg"
"Mounted Gorilla Grin","mounted-gorilla-grin.html","True","Add to existing page","2","0","2","0","0","Mounted Gorilla Grin B&W.jpg | Mounted Gorilla Grin COLOR.jpg"
"Mouth Grin","mouth-grin.html","True","Add to existing page","1","0","1","0","0","Mouth Grin B&W.jpg"
"Mr Met Grin","mr-met-grin.html","True","Add to existing page","2","0","2","0","0","Mr Met Grin B&W.jpg | Mr Met Grin COLOR.jpg"
"Mr Potato Grin","mr-potato-grin.html","True","Add to existing page","1","0","1","0","0","Mr Potato Grin B&W.jpg"
"Mummy Grin","mummy-grin.html","True","Add to existing page","1","0","1","0","0","Mummy Grin B&W.jpg"
"Mummy Grin 2","mummy-grin-2.html","False","Likely create new page","1","0","1","0","0","Mummy Grin 2 COLOR.jpg"
