"Character","Page","Section","File","FullPath"
"New Urban Bigfoot","new-urban-bigfoot.html","Digitized Versions","New Urban Bigfoot B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\New Urban Bigfoot B&W.jpg"
"New Urban Bigfoot","new-urban-bigfoot.html","Digitized Versions","New Urban Bigfoot COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\New Urban Bigfoot COLOR.jpg"
"New Urban Bigfoot","new-urban-bigfoot.html","Additional Collector Card","New Urban Bigfoot card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\New Urban Bigfoot card.jpg"
"Bigfoot Toddler","bigfoot-toddler.html","Digitized Versions","Bigfoot Toddler B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Toddler B&W.jpg"
"Bigfoot Toddler","bigfoot-toddler.html","Digitized Versions","Bigfoot Toddler COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Toddler COLOR.jpg"
"Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Original Drawing","Li'l Bigfoot with beard front ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard front ORIGINAL.jpg"
"Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Original Drawing","Li'l Bigfoot with beard front ORIGINAL COLORED.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard front ORIGINAL COLORED.jpg"
"Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Original Drawing","Li'l Bigfoot with beard front ORIGINAL COLOR rainbow.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard front ORIGINAL COLOR rainbow.jpg"
"Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Original Drawing","Li'l Bigfoot with beard back ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard back ORIGINAL.jpg"
"Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Original Drawing","Li'l Bigfoot with beard side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard side ORIGINAL.jpg"
