"Status","Character","Page","Section","File","FullPath"
"Grouped","Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digital","Li'l Bigfoot with beard three quarters COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard three quarters COLOR.jpg"
"Grouped","Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Original","Li'l Bigfoot with beard front ORIGINAL COLOR rainbow.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard front ORIGINAL COLOR rainbow.jpg"
"Grouped","Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Original","Li'l Bigfoot with beard front ORIGINAL COLORED.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard front ORIGINAL COLORED.jpg"
"Grouped","Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Original","Li'l Bigfoot with beard front ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard front ORIGINAL.jpg"
"Grouped","Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Original","Li'l Bigfoot with beard back ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard back ORIGINAL.jpg"
"Grouped","Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Original","Li'l Bigfoot with beard side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard side ORIGINAL.jpg"
"Grouped","Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Original","Li'l Bigfoot with beard three quarters ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard three quarters ORIGINAL.jpg"
"Grouped","Li'l Bigfoot","lil-bigfoot.html","Card","series 1 #36 front - BIGFOOTS - Lil Bigfoot - uncommon.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 1 #36 front - BIGFOOTS - Lil Bigfoot - uncommon.jpg"
"Grouped","Li'l Bigfoot","lil-bigfoot.html","Card","series 1 #36 back - BIGFOOT - Li'l Bigfoot - uncommon.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 1 #36 back - BIGFOOT - Li'l Bigfoot - uncommon.jpg"
"Grouped","Li'l Bigfoot","lil-bigfoot.html","Card","Li'l Bigfoot card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot card.jpg"
"Grouped","Li'l Bigfoot","lil-bigfoot.html","Digital","Li'l Bigfoot B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot B&W.jpg"
