"Status","SourceFile","OutputFile","SourceSizeKB","OutputSizeKB","Error"
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Couch Potatoes COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Couch Potatoes COLOR.jpg","2660.5","189.8",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Couch Potatoes ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Couch Potatoes ORIGINAL.jpg","3511.3","247.9",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Couch Surfing B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Couch Surfing B&W.jpg","4830.9","428.4",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Couch Surfing COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Couch Surfing COLOR.jpg","8742.3","430.6",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Couch Surfing ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Couch Surfing ORIGINAL COLOR.jpg","13851.8","507.6",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Couch Surfing ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Couch Surfing ORIGINAL.jpg","8905","484.6",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Creation of Slo Moe ORIGINAL.JPG","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Creation of Slo Moe ORIGINAL.jpg","15605.4","143.7",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Delusionville Last Supper COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Delusionville Last Supper COLOR.jpg","5381.6","101.5",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Delusionville ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Delusionville ORIGINAL.jpg","16586.4","448",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\DesignerCon ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\DesignerCon ORIGINAL COLOR.jpg","1757.5","169.6",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Dinner ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Dinner ORIGINAL COLOR.jpg","1868.1","242.7",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Dinner ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Dinner ORIGINAL.jpg","3601","300.8",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Donkey and Sheep B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Donkey and Sheep B&W.jpg","1223.9","197.8",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Donkey and Sheep COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Donkey and Sheep COLOR.jpg","1972.5","209.7",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Donkey and Sheep ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Donkey and Sheep ORIGINAL.jpg","2709.7","342.7",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Don't Say It Out Loud B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Don't Say It Out Loud B&W.jpg","1811.3","121.3",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Don't Say It Out Loud COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Don't Say It Out Loud COLOR.jpg","2571.9","136.9",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Don't Say It Outloud ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Don't Say It Outloud ORIGINAL.jpg","1496.3","209.9",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Down the Rabbbit Hole ORIGINAL COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Down the Rabbbit Hole ORIGINAL COLOR.jpg","7671.9","374.1",""
"Error","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Down the Rabbbit Hole ORIGINAL COLOR.tif","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Down the Rabbbit Hole ORIGINAL COLOR-2.jpg","383945.1","","Output file was not created."
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Elefanka and Friends ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Elefanka and Friends ORIGINAL.jpg","14147.9","212.6",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Elefanka on her High Horse COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Elefanka on her High Horse COLOR.jpg","4146.9","135.2",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Elefanka on her High Horse COLORWAY 1.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Elefanka on her High Horse COLORWAY 1.jpg","255.9","135.5",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Elefanka on her High Horse COLORWAY 2.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Elefanka on her High Horse COLORWAY 2.jpg","276.8","141.9",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Elefanka on her High Horse COLORWAY 3.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Elefanka on her High Horse COLORWAY 3.jpg","265.1","143.5",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Elefanka on her High Horse COLORWAY 4.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Elefanka on her High Horse COLORWAY 4.jpg","287.8","151.9",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Elefanka on her High Horse COLORWAYS.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Elefanka on her High Horse COLORWAYS.jpg","1737.7","141.2",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Elefanka on her High Horse ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Elefanka on her High Horse ORIGINAL COLOR.jpg","163.1","31.9",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Elefanka on her High Horse ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Elefanka on her High Horse ORIGINAL.jpg","1064.3","143",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Elefanka Orion Grinmobile B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Elefanka Orion Grinmobile B&W.jpg","2436.5","199.9",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Elefanka Orion Grinmobile ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Elefanka Orion Grinmobile ORIGINAL.jpg","2143.5","254.3",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Ella Kalen ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Ella Kalen ORIGINAL.jpg","1147.2","185.7",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Falla and Paws B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Falla and Paws B&W.jpg","2547.1","215.6",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Falla and Paws COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Falla and Paws COLOR.jpg","4155.1","207",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Falla and Paws ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Falla and Paws ORIGINAL.jpg","1692.5","216.5",""
