"ProposedTitle","ProposedSlug","Kind","HasOriginalInName","HeroRank","FileName","SizeKB","FullPath"
"Rabbbit Saucer","rabbbit-saucer","Digital Version","False","20","Rabbbit Saucer B&W.jpg","94.3","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbit Saucer B&W.jpg"
"Rabbbit Saucer","rabbbit-saucer","Digital Version","False","1","Rabbbit Saucer COLOR.jpg","91.6","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbit Saucer COLOR.jpg"
"Rabbbit TV","rabbbit-tv","Original Drawing","True","50","Rabbbit TV ORIGINAL.jpg","355.5","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbit TV ORIGINAL.jpg"
"Rabbbits Falling Down The Hole -0","rabbbits-falling-down-the-hole-0","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-0.jpg","575.2","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-0.jpg"
"Rabbbits Falling Down The Hole -1","rabbbits-falling-down-the-hole-1","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-1.jpg","12.7","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-1.jpg"
"Rabbbits Falling Down The Hole -10","rabbbits-falling-down-the-hole-10","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-10.jpg","25.4","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-10.jpg"
"Rabbbits Falling Down The Hole -11","rabbbits-falling-down-the-hole-11","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-11.jpg","16.4","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-11.jpg"
"Rabbbits Falling Down The Hole -12","rabbbits-falling-down-the-hole-12","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-12.jpg","14.2","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-12.jpg"
"Rabbbits Falling Down The Hole -13","rabbbits-falling-down-the-hole-13","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-13.jpg","13.5","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-13.jpg"
"Rabbbits Falling Down The Hole -14","rabbbits-falling-down-the-hole-14","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-14.jpg","20.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-14.jpg"
"Rabbbits Falling Down The Hole -15","rabbbits-falling-down-the-hole-15","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-15.jpg","15.5","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-15.jpg"
"Rabbbits Falling Down The Hole -16","rabbbits-falling-down-the-hole-16","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-16.jpg","19.6","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-16.jpg"
"Rabbbits Falling Down The Hole -17","rabbbits-falling-down-the-hole-17","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-17.jpg","18.4","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-17.jpg"
"Rabbbits Falling Down The Hole -18","rabbbits-falling-down-the-hole-18","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-18.jpg","18.7","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-18.jpg"
"Rabbbits Falling Down The Hole -19","rabbbits-falling-down-the-hole-19","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-19.jpg","32.7","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-19.jpg"
"Rabbbits Falling Down The Hole -2","rabbbits-falling-down-the-hole-2","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-2.jpg","539.8","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-2.jpg"
"Rabbbits Falling Down The Hole -20","rabbbits-falling-down-the-hole-20","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-20.jpg","15.7","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-20.jpg"
"Rabbbits Falling Down The Hole -21","rabbbits-falling-down-the-hole-21","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-21.jpg","21.6","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-21.jpg"
"Rabbbits Falling Down The Hole -22","rabbbits-falling-down-the-hole-22","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-22.jpg","14.4","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-22.jpg"
"Rabbbits Falling Down The Hole -23","rabbbits-falling-down-the-hole-23","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-23.jpg","11","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-23.jpg"
"Rabbbits Falling Down The Hole -3","rabbbits-falling-down-the-hole-3","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-3.jpg","171.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-3.jpg"
"Rabbbits Falling Down The Hole -4","rabbbits-falling-down-the-hole-4","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-4.jpg","479.4","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-4.jpg"
"Rabbbits Falling Down The Hole -5","rabbbits-falling-down-the-hole-5","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-5.jpg","479.6","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-5.jpg"
"Rabbbits Falling Down The Hole -6","rabbbits-falling-down-the-hole-6","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-6.jpg","10.9","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-6.jpg"
"Rabbbits Falling Down The Hole -7","rabbbits-falling-down-the-hole-7","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-7.jpg","31.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-7.jpg"
"Rabbbits Falling Down The Hole -8","rabbbits-falling-down-the-hole-8","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-8.jpg","8.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-8.jpg"
"Rabbbits Falling Down The Hole -9","rabbbits-falling-down-the-hole-9","Original Drawing","True","1","Rabbbits Falling Down the Hole ORIGINAL COLOR-9.jpg","32.2","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbits Falling Down the Hole ORIGINAL COLOR-9.jpg"
"Richmond Guernica 1","richmond-guernica-1","Original Drawing","True","50","Richmond Guernica 1 ORIGINAL.jpg","204.7","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Richmond Guernica 1 ORIGINAL.jpg"
"Richmond Guernica 2","richmond-guernica-2","Original Drawing","True","50","Richmond Guernica 2 ORIGINAL.jpg","218","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Richmond Guernica 2 ORIGINAL.jpg"
"Robbie & Mousemask","robbie-and-mousemask","Digital Version","False","20","Robbie & Mousemask B&W.jpg","166.3","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Robbie & Mousemask B&W.jpg"
"Robbie & Mousemask","robbie-and-mousemask","Digital Version","False","1","Robbie & Mousemask COLOR.jpg","166","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Robbie & Mousemask COLOR.jpg"
"Robbie & Mousemask","robbie-and-mousemask","Original Drawing","True","50","Robbie & Mousemask ORIGINAL.jpg","227.9","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Robbie & Mousemask ORIGINAL.jpg"
"Robbie & Mousemask","robbie-and-mousemask","Digital Version","False","10","Robbie & Mousemask.jpg","166.3","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Robbie & Mousemask.jpg"
"Rock Star Guernica","rock-star-guernica","Digital Version","False","20","Rock Star Guernica B&W.jpg","267","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rock Star Guernica B&W.jpg"
"Rock Star Guernica","rock-star-guernica","Original Drawing","True","50","Rock Star Guernica ORIGINAL.jpg","309.7","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rock Star Guernica ORIGINAL.jpg"
"Ronnnie Noveau","ronnnie-noveau","Digital Version","False","20","Ronnnie Noveau B&W.jpg","296.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Ronnnie Noveau B&W.jpg"
"Ronnnie Noveau","ronnnie-noveau","Original Drawing","True","50","Ronnnie Noveau ORIGINAL.jpg","322.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Ronnnie Noveau ORIGINAL.jpg"
"Saturday Morning Cartoon Guernica 1","saturday-morning-cartoon-guernica-1","Original Drawing","True","50","Saturday Morning Cartoon Guernica sketch 1 ORIGINAL.jpg","162.8","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Saturday Morning Cartoon Guernica sketch 1 ORIGINAL.jpg"
"Saturday Morning Cartoon Guernica 2","saturday-morning-cartoon-guernica-2","Original Drawing","True","50","Saturday Morning Cartoon Guernica sketch 2 ORIGINAL.jpg","201.8","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Saturday Morning Cartoon Guernica sketch 2 ORIGINAL.jpg"
"Selfie Guernica 1","selfie-guernica-1","Original Drawing","True","50","Selfie Guernica 1 ORIGINAL.jpg","372.8","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Selfie Guernica 1 ORIGINAL.jpg"
"Selfie Guernica 2","selfie-guernica-2","Original Drawing","True","50","Selfie Guernica 2 ORIGINAL.jpg","380.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Selfie Guernica 2 ORIGINAL.jpg"
"Selfie Guernica 3","selfie-guernica-3","Original Drawing","True","50","Selfie Guernica 3 ORIGINAL.jpg","277.9","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Selfie Guernica 3 ORIGINAL.jpg"
"Selfie Guernica 4","selfie-guernica-4","Original Drawing","True","50","Selfie Guernica 4 ORIGINAL.jpg","255","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Selfie Guernica 4 ORIGINAL.jpg"
"Selfie Guernica 5","selfie-guernica-5","Original Drawing","True","50","Selfie Guernica 5 ORIGINAL.jpg","241.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Selfie Guernica 5 ORIGINAL.jpg"
"Selfie Guernica","selfie-guernica","Digital Version","False","20","Selfie Guernica B&W.jpg","194","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Selfie Guernica B&W.jpg"
"Shooting Range","shooting-range","Original Drawing","True","50","Shooting Range sketch ORIGINAL.jpg","294.4","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Shooting Range sketch ORIGINAL.jpg"
"Skeleton Guernica","skeleton-guernica","Original Drawing","True","50","Skeleton Guernica ORIGINAL.jpg","241.6","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Skeleton Guernica ORIGINAL.jpg"
"Skunk and Unicorn","skunk-and-unicorn","Digital Version","False","10","Skunk and Unicorn.jpg","150.9","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Skunk and Unicorn.jpg"
"Slo Moe and Friends In Rabbit Hole","slo-moe-and-friends-in-rabbit-hole","Original Drawing","True","1","Slo Moe and Friends in Rabbit Hole ORIGINAL COLOR.jpg","342.5","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Slo Moe and Friends in Rabbit Hole ORIGINAL COLOR.jpg"
"Slo Moe and Friends In Rabbit Hole","slo-moe-and-friends-in-rabbit-hole","Original Drawing","True","50","Slo Moe and friends in Rabbit Hole ORIGINAL.jpg","408.8","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Slo Moe and friends in Rabbit Hole ORIGINAL.jpg"
"Snowflake and Forlorn Unicorn","snowflake-and-forlorn-unicorn","Digital Version","False","10","snowflake and forlorn unicorn.jpg","243.4","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\snowflake and forlorn unicorn.jpg"
"South Park Last Supper","south-park-last-supper","Original Drawing","True","50","South Park Last Supper sketch left ORIGINAL.jpg","143.4","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\South Park Last Supper sketch left ORIGINAL.jpg"
"South Park Last Supper","south-park-last-supper","Original Drawing","True","50","South Park Last Supper sketch right ORIGINAL.jpg","119.8","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\South Park Last Supper sketch right ORIGINAL.jpg"
"Southpark","southpark","Original Drawing","True","50","Southpark Sketch ORIGINAL.jpg","328","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Southpark Sketch ORIGINAL.jpg"
"Square Guernica","square-guernica","Digital Version","False","20","Square Guernica B&W.jpg","530.7","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Square Guernica B&W.jpg"
"Surf's Up","surf-s-up","Original Drawing","True","50","Surf's Up ORIGINAL.jpg","244.3","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Surf's Up ORIGINAL.jpg"
"Swallowed Whole","swallowed-whole","Original Drawing","True","50","Swallowed Whole ORIGINAL.jpg","132.6","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Swallowed Whole ORIGINAL.jpg"
"Swirling Aquanaut","swirling-aquanaut","Digital Version","False","20","Swirling Aquanaut B&W.jpg","143.6","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Swirling Aquanaut B&W.jpg"
"Swirling Aquanaut","swirling-aquanaut","Original Drawing","True","50","Swirling Aquanaut ORIGINAL.jpg","225.3","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Swirling Aquanaut ORIGINAL.jpg"
"Swirly Angie Aqua Ape","swirly-angie-aqua-ape","Digital Version","False","20","Swirly Angie Aqua Ape B&W.jpg","104.3","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Swirly Angie Aqua Ape B&W.jpg"
