"ProposedTitle","ProposedSlug","ImageCount","OriginalCount","DigitalCount","SuggestedHero","ReviewFlags","ImageFiles"
"Hurt Wolf","hurt-wolf","1","1","0","Hurt Wolf ORIGINAL COLOR.jpg","","Hurt Wolf ORIGINAL COLOR.jpg"
"I Can't Shake This Thought","i-can-t-shake-this-thought","3","1","2","I can't shake this thought COLOR.jpg","","I can't shake this thought COLOR.jpg | I can't shake this thought B&W.jpg | I can't shake this thought ORIGINAL.jpg"
"Just Trying to Read","just-trying-to-read","1","1","0","Just Trying to Read ORIGINAL.jpg","","Just Trying to Read ORIGINAL.jpg"
"Kazakhstan","kazakhstan","1","1","0","Kazakhstan ORIGINAL COLOR.jpg","","Kazakhstan ORIGINAL COLOR.jpg"
"Keep on Truckin","keep-on-truckin","1","0","1","Keep on Truckin 14x17.jpg","Dimension clue in filename","Keep on Truckin 14x17.jpg"
"Keep on Truckin'","keep-on-truckin","2","2","0","Keep On Truckin' ORIGINAL COLOR.jpg","","Keep On Truckin' ORIGINAL COLOR.jpg | Keep On Truckin' ORIGINAL.jpg"
"Last Supper 2","last-supper-2","1","0","1","Last Supper 2 B&W.jpg","","Last Supper 2 B&W.jpg"
"Last Supper 3","last-supper-3","2","0","2","Last Supper 3 COLOR.jpg","","Last Supper 3 COLOR.jpg | Last Supper 3 B&W.jpg"
"Last Supper 4","last-supper-4","2","1","1","Last Supper 4 B&W.jpg","","Last Supper 4 B&W.jpg | Last Supper 4 ORIGINAL.jpg"
"Last Supper 5","last-supper-5","1","0","1","Last Supper 5 B&W.jpg","","Last Supper 5 B&W.jpg"
"Libtard and Nose","libtard-and-nose","1","0","1","libtard and nose.jpg","","libtard and nose.jpg"
"Libtard Triggered","libtard-triggered","3","1","2","Libtard Triggered COLOR.jpg","","Libtard Triggered COLOR.jpg | Libtard Triggered B&W.jpg | Libtard Triggered ORIGINAL.jpg"
"Libtard Triggered with Snowflake","libtard-triggered-with-snowflake","1","0","1","Libtard Triggered B&W with snowflake.jpg","","Libtard Triggered B&W with snowflake.jpg"
"Mandala Partial","mandala-partial","1","1","0","Mandala Partial ORIGINAL.jpg","","Mandala Partial ORIGINAL.jpg"
"MC Supersized and Cathy Cowgirl","mc-supersized-and-cathy-cowgirl","3","1","2","MC Supersized and Cathy Cowgirl COLOR.jpg","","MC Supersized and Cathy Cowgirl COLOR.jpg | MC Supersized and Cathy Cowgirl B&W.jpg | MC Supersized and Cathy Cowgirl ORIGINAL.jpg"
