"File","RelativePath","FullPath","WillChange","Backup","Status"
"blubby-bono.html","Sketches\aliens\blubby-bono.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\blubby-bono.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\blubby-bono.html.bak-centering-20260507-142124","Updated"
"bob-knobble.html","Sketches\aliens\bob-knobble.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\bob-knobble.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\bob-knobble.html.bak-centering-20260507-142124","Updated"
"bozobreath-anusless.html","Sketches\aliens\bozobreath-anusless.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\bozobreath-anusless.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\bozobreath-anusless.html.bak-centering-20260507-142124","Updated"
"braniacosmus.html","Sketches\aliens\braniacosmus.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\braniacosmus.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\braniacosmus.html.bak-centering-20260507-142124","Updated"
"brooke-chinook.html","Sketches\aliens\brooke-chinook.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\brooke-chinook.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\brooke-chinook.html.bak-centering-20260507-142124","Updated"
"caelumbis.html","Sketches\aliens\caelumbis.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\caelumbis.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\caelumbis.html.bak-centering-20260507-142124","Updated"
"caezahr.html","Sketches\aliens\caezahr.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\caezahr.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\caezahr.html.bak-centering-20260507-142124","Updated"
"cairene-cosmos.html","Sketches\aliens\cairene-cosmos.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cairene-cosmos.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cairene-cosmos.html.bak-centering-20260507-142124","Updated"
"caption-alien.html","Sketches\aliens\caption-alien.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\caption-alien.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\caption-alien.html.bak-centering-20260507-142124","Updated"
"catalien.html","Sketches\aliens\catalien.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\catalien.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\catalien.html.bak-centering-20260507-142124","Updated"
"catmask.html","Sketches\aliens\catmask.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\catmask.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\catmask.html.bak-centering-20260507-142124","Updated"
"cavaler-avaler.html","Sketches\aliens\cavaler-avaler.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cavaler-avaler.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cavaler-avaler.html.bak-centering-20260507-142124","Updated"
"cb-astronaut-fishbowl.html","Sketches\aliens\cb-astronaut-fishbowl.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cb-astronaut-fishbowl.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cb-astronaut-fishbowl.html.bak-centering-20260507-142124","Updated"
"cb-astronaut-internal-aliens.html","Sketches\aliens\cb-astronaut-internal-aliens.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cb-astronaut-internal-aliens.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cb-astronaut-internal-aliens.html.bak-centering-20260507-142124","Updated"
"cb-astronaut-microphone.html","Sketches\aliens\cb-astronaut-microphone.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cb-astronaut-microphone.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cb-astronaut-microphone.html.bak-centering-20260507-142124","Updated"
"cb-astronaut-star-skull.html","Sketches\aliens\cb-astronaut-star-skull.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cb-astronaut-star-skull.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\cb-astronaut-star-skull.html.bak-centering-20260507-142124","Updated"
"celestial-terrestial.html","Sketches\aliens\celestial-terrestial.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\celestial-terrestial.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\celestial-terrestial.html.bak-centering-20260507-142124","Updated"
"celibscent-scanidol.html","Sketches\aliens\celibscent-scanidol.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\celibscent-scanidol.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\celibscent-scanidol.html.bak-centering-20260507-142124","Updated"
