"Action","Page","Detail"
"Merged image into target page","ramones-grin.html","Ramones Grin 3 ORIGINAL.jpg"
"Merged image into target page","ramones-grin.html","Ramones Grin 4 ORIGINAL.jpg"
"Merged image into target page","ramones-grin.html","Ramones Grin 5 ORIGINAL.jpg"
"Removed source card from index","ramones-grin-1.html","Merged into ramones-grin.html"
"Archived merged source page","ramones-grin-1.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-20-20260508-101402"
"Removed source card from index","ramones-grin-2.html","Merged into ramones-grin.html"
"Archived merged source page","ramones-grin-2.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-20-20260508-101402"
"Removed source card from index","ramones-grin-3.html","Merged into ramones-grin.html"
"Archived merged source page","ramones-grin-3.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-20-20260508-101402"
"Removed source card from index","ramones-grin-4.html","Merged into ramones-grin.html"
"Archived merged source page","ramones-grin-4.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-20-20260508-101402"
"Removed source card from index","ramones-grin-5.html","Merged into ramones-grin.html"
"Archived merged source page","ramones-grin-5.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-20-20260508-101402"
"Updated index thumbnail","ramones-grin.html","Ramones Grin 1 ORIGINAL.jpg"
"Updated index thumbnail","rabbit-grin.html","Rabbit Grin COLOR.jpg"
"Updated index thumbnail","rabbit-grin-2.html","Rabbit Grin 2 COLOR.jpg"
"Updated index thumbnail","pizza-this-grin.html","Pizza This Grin COLOR.jpg"
